token,score
mon,9.322503355315817
meth,9.322752571008202
its,9.32347513890335
▁mad,9.324765525196488
▁shoul,9.325180160467838
▁should,9.325180160467838
▁kne,9.326037164915839
▁stil,9.326294069220399
▁still,9.326294069220399
ress,9.327107751381138
ub,9.328769514100852
▁rig,9.330534857162121
ity,9.332539582277992
▁away,9.333454332429998
ask,9.333932596699832
ced,9.335159301265078
ethi,9.33644939239456
irs,9.338261075922977
lli,9.338510805312342
▁lon,9.33886914674665
bre,9.339524140754463
rem,9.340880307118551
ethin,9.340940738999322
yth,9.3414726970839
wat,9.34165756695418
someth,9.342867839897396
somethi,9.342867839897396
somethin,9.342867839897396
something,9.342867839897396
ometh,9.342867839897396
omethi,9.342867839897396
omethin,9.342867839897396
omething,9.342867839897396
methi,9.342867839897396
methin,9.342867839897396
mething,9.342867839897396
ething,9.342867839897396
nsi,9.342898980526751
ton,9.343528921430053
▁per,9.34638940966319
